Date,ILS,EUR
2016-11-01,0,0
2016-11-02,-0.121838718977,-0.348335729293
2016-11-03,-0.0706292423409,-0.403627114895
2016-11-04,-0.562386980108,-0.77960853699
2016-11-05,-0.598894043033,-0.77960853699
2016-11-06,-0.486070707865,-0.304102620812
2016-11-07,-0.19642529549,0.116111909764
2016-11-08,-0.2497051655,0.387039699215
2016-11-09,0.0429803181592,1.28276014597
2016-11-10,0.374217050607,1.55921707398
2016-11-11,0.496475089761,1.85226141767
2016-11-12,0.543334119559,1.85226141767
2016-11-13,0.546636265954,2.14530576136
2016-11-14,0.838063789082,2.89173946699
2016-11-15,0.717954765836,3.10737587084
2016-11-16,0.89346646749,3.26219175053
2016-11-17,1.23018056975,4.0583877032
2016-11-18,1.65503053175,4.42883998673
2016-11-19,1.75273213303,4.42883998673
2016-11-20,1.77398642451,4.49518964945
2016-11-21,1.42018502503,3.99756717903
2016-11-22,1.19907225411,3.99756717903
2016-11-23,1.29900149383,4.87117107155
2016-11-24,1.37500327594,4.71635519186
2016-11-25,1.4461566685,4.37907773969
2016-11-26,1.45268233876,4.37907773969
2016-11-27,1.44012894095,4.32378635409
2016-11-28,0.851508242262,4.1413247816
2016-11-29,0.588044133449,3.83722216079
2016-11-30,0.493199150877,4.38460687825
