Date,VEF,TRY,EUR
2012-03-10,4.29755,1.784644,0.760072
2012-03-11,4.29755,1.784644,0.760072
2012-03-12,4.293425,1.797043,0.760876
2012-03-13,4.292825,1.794117,0.764333
2012-03-14,4.292825,1.799405,0.767421
